SSN,EEID,FirstName,LastName,DOB,DOH,DOT,HoursWorked,%Ownership,Officer,PiorYearComp,EmployeeDeferrals,EmployerMatch,EmployerProfitSharing,EmployerSHContribuion
865-50-6891,468047,Kara,Peterson,1962-09-01,2016-10-17,2019-12-28,2229,44.8,Yes,189534.6,3938.83,9168.87,1268.34,383.2
042-34-8377,553200,Jacqueline,Estes,1989-09-17,2021-07-02,2016-01-31,1288,8.04,Yes,184674.7,11890.53,8725.35,6672.17,7072.93
498-52-4970,927932,Diana,Nolan,1967-04-07,2015-05-09,2015-05-26,2052,32.01,Yes,37140.77,4266.08,6810.06,5538.84,13328.18
489-46-9559,510935,Jennifer,Meyers,1956-12-29,2015-06-24,2019-10-05,2323,50.79,No,157352.92,6634.3,8102.51,14233.98,151.65
224-65-2282,952148,Raven,Johnson,1981-01-26,2024-03-20,2022-03-04,1361,93.28,No,149225.22,18770.05,5190.07,867.86,7902.42
289-18-1554,588675,Danielle,Hernandez,1984-08-25,2016-07-09,2024-05-06,582,10.91,Yes,141411.52,17530.66,7854.89,6129.39,996.85
634-33-8726,633316,Nathan,Scott,1979-09-06,2011-08-29,2025-04-16,1030,55.13,No,151100.8,15953.31,1891.27,6258.38,13006.65
723-78-2408,792183,Amanda,Mueller,2005-11-18,2008-02-23,2022-02-19,2477,70.66,Yes,183460.73,691.63,7821.14,10922.71,10294.45
318-13-1209,72,Jared,Kirby,1967-05-11,2008-11-19,2022-12-16,1547,54.74,Yes,138824.0,2893.15,4445.8,4810.07,11129.31
871-88-5410,926810,Brenda,Aguilar,1985-05-22,2023-07-16,2017-02-17,1495,81.45,No,93316.37,5009.2,7566.16,3059.85,10035.11
484-72-1650,40800,Alan,Robbins,1978-08-29,2025-02-27,2019-09-10,1329,54.03,No,121447.89,15291.25,4554.7,4399.67,96.35
363-56-5181,518607,Edward,Roman,1997-05-27,2015-11-13,2021-05-31,2380,96.38,No,65333.5,16425.5,7895.59,7063.31,617.67
626-82-3351,341776,Mathew,Jones,1959-07-10,2010-09-19,2020-03-19,2105,60.32,No,129811.34,11367.49,753.4,14254.02,9313.15
566-62-7254,327216,Kristine,Miller,1957-06-07,2018-03-18,2018-09-24,2199,58.76,No,31512.5,14003.57,446.41,11947.76,14995.28
887-67-4268,878430,Jennifer,Melton,1957-02-11,2010-05-24,2016-11-04,1121,44.5,No,55673.94,15737.58,9342.9,4154.55,13097.21
064-71-0231,489571,Matthew,Williams,1987-06-24,2009-08-28,2015-12-31,2482,59.63,Yes,86679.43,1294.0,4861.65,8372.72,10495.29
096-93-6535,52278,Christine,Perez,1971-10-10,2012-12-23,2016-08-04,1476,38.49,Yes,164235.94,1650.54,9010.71,10323.0,10906.5
728-86-0019,848346,Blake,Williams,1956-03-17,2016-02-22,2019-11-11,1233,57.57,No,152144.9,16943.46,9447.83,11934.86,3400.31
627-64-5459,862684,Frank,Smith,1989-10-14,2022-09-10,2020-08-04,1694,29.03,Yes,87503.51,768.61,6665.11,6692.47,11274.21
250-94-5329,917521,Tina,Anthony,1999-10-02,2013-08-28,2024-06-21,2326,18.94,No,135491.48,4389.27,5717.97,5981.65,4318.86
721-09-3131,851878,Keith,Rivera,1993-02-17,2013-06-13,2021-03-06,2359,18.67,Yes,37004.5,792.32,2159.79,11514.61,1581.9
